gene_primary,count0
AR,964
PTEN,74
CYP17A1,74
NHS,58
MYC,57
MTOR,53
EGFR,46
ERG,40
TP53,38
TMPRSS2,35
TRPM2,34
BRCA2,33
STAT3,32
SRC,31
AKR1C3,25
RB1,25
BRD4,24
EZH2,22
BRCA1,22
ABCB1,21
PROC,20
CD44,20
DES,18
ERBB2,18
CASP3,17
FOXA1,17
IL6,15
CLU,15
SOX2,14
EGF,14
BAX,14
UBC,13
KLK3,13
AURKA,12
EPCAM,11
AES,11
ARSI,10
CDK1,10
UBE2C,10
PRCC,9
CGAS,9
BAD,9
RELA,9
ZEB1,9
HOXB13,9
SPOP,9
BCL2,9
MMP9,9
YBX1,8
SRD5A2,8
ABCG2,8
TWIST1,8
MKI67,8
PLK1,8
GAN,8
KLK2,8
HSD3B1,7
CTLA4,7
CHD1,7
SPINK1,7
CGA,7
GLA,7
CD4,7
ERBB3,7
CDK4,7
MDM2,7
E2F1,7
BCR,7
PARP1,6
TNF,6
BRD2,6
FKBP5,6
CYP3A4,6
HDAC6,6
EMD,6
FOLH1,6
NANOG,6
IGF1R,6
CCL2,6
CDK12,6
BIRC5,6
MCL1,5
PTGS2,5
CAD,5
CXCR4,5
WNT5A,5
GATA2,5
KIT,5
REST,5
UGT2B17,5
UGT2B15,5
CXCL8,5
C2,5
VEGFA,5
ATG5,5
HGF,5
CDK6,5
GEM,5
CD274,5
DAB2IP,5
CCS,5
NPS,5
SLCO1B3,5
HMGB1,5
THBS1,5
CYP11A1,5
SHBG,5
CHEK2,5
MB,5
CDC20,4
TACSTD2,4
VAV3,4
NES,4
MYCN,4
TGFBR2,4
CTNNB1,4
SI,4
PIK3CA,4
SRD5A1,4
SKP2,4
APC,4
CD14,4
HDAC3,4
CD24,4
SOD2,4
SYP,4
STAR,4
CA2,4
HSF1,4
BRD3,4
ADM,4
GAL,4
CCND1,4
AKR1C2,4
BMI1,4
FAS,4
HSD17B6,4
HIF1A,4
PGP,4
PALB2,4
MMP2,4
CDH1,4
TRPV2,4
BECN1,4
SOX9,4
FASN,4
SMAD4,4
SNAI1,4
COPE,4
HDAC1,3
CRP,3
IL10,3
BIRC6,3
MSH2,3
MALL,3
GLI2,3
ZEB2,3
DPP4,3
ERBB4,3
ACKR3,3
PDCD1,3
CCK,3
CCR2,3
RHO,3
TNK2,3
GC,3
TERT,3
CCNB1,3
CDC25C,3
BMP6,3
MLN,3
SPDEF,3
RAC1,3
ETV1,3
CRCP,3
CYP3A5,3
CAV1,3
XIAP,3
NCOA2,3
TG,3
AGO2,3
PSCA,3
JAK2,3
WDR5,3
NOTCH1,3
SLCO2B1,3
YAP1,3
PTS,3
NODAL,3
NFKB2,3
ETV6,3
HNRNPA1,3
GLI1,3
